Ocol,Data,Proprietar,Status,Nr Apv,Cod UP,Nume UP,Denumire APV,Suprafata totala act (ha),Tratament,Natura Produsului,Tehnologia exploatare,Data inventarierii,Anul Exploatarii,Accesibilitate,Procedeu,Ciocan forma,Ciocan nr,Stancarii,Arbori putregaiosi - nr,Arbori putregaiosi - volum (mc),Iescari - nr,Iescari - volum (mc),UA - denumire,Suprafata totala UA (ha),Suprafata parcursa (ha),Varsta (ani),Panta G,Semintis %,Semintis total,Compozitie,Inaltime semintis,Specia,Volum mediu arbore (mc),Nr arbori,Crestere,G1,G2,G3,M1,M2,M3,Ls,Lemn de lucru (mc),Coaja (mc),Lemn de foc total (mc),Varfuri (mc),Volum brut (mc),dt,dcg,ht,hc
OCOLUL SILVIC STOICENI,16.08.2021,Ocolul Silvic Stoiceni,Predat,2100156205940,1,Stoiceni,566 Galtofani,11.76,T. progresive (punere in lumina),Principale codru,SORTIMENTE SI MULTIPLI DE SORTIMENTE,12.08.2021,2025,NESETAT,Fir cu fir,CIRCULARA,PS326,0.0,0,0.0,19,18.06,9 A,11.76,11.76,135,15,62.0,7.29,10Fa,1.5,Mojdrean,0.05,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.01,0.1,0.02,0.15,10.0,10.0,11.0,11.0
OCOLUL SILVIC STOICENI,16.08.2021,Ocolul Silvic Stoiceni,Predat,2100156205940,1,Stoiceni,566 Galtofani,11.76,T. progresive (punere in lumina),Principale codru,SORTIMENTE SI MULTIPLI DE SORTIMENTE,12.08.2021,2025,NESETAT,Fir cu fir,CIRCULARA,PS326,0.0,0,0.0,19,18.06,9 A,11.76,11.76,135,15,62.0,7.29,10Fa,1.5,Salcie capreasca,0.02,28,0.0,0.0,0.02,0.0,0.01,0.03,0.03,0.04,0.13,0.03,0.26,0.04,0.42,12.86,12.86,11.46,11.46
OCOLUL SILVIC STOICENI,16.08.2021,Ocolul Silvic Stoiceni,Predat,2100156205940,1,Stoiceni,566 Galtofani,11.76,T. progresive (punere in lumina),Principale codru,SORTIMENTE SI MULTIPLI DE SORTIMENTE,12.08.2021,2025,NESETAT,Fir cu fir,CIRCULARA,PS326,0.0,0,0.0,19,18.06,9 A,11.76,11.76,135,15,62.0,7.29,10Fa,1.5,Carpen,0.07,849,0.93,1.22,6.43,0.0,1.71,2.18,3.7,7.74,22.98,2.39,35.03,6.2,60.4,23.94,9.19,15.03,15.03
OCOLUL SILVIC STOICENI,16.08.2021,Ocolul Silvic Stoiceni,Predat,2100156205940,1,Stoiceni,566 Galtofani,11.76,T. progresive (punere in lumina),Principale codru,SORTIMENTE SI MULTIPLI DE SORTIMENTE,12.08.2021,2025,NESETAT,Fir cu fir,CIRCULARA,PS326,0.0,0,0.0,19,18.06,9 A,11.76,11.76,135,15,62.0,7.29,10Fa,1.5,Gorun (S),4.78,4,0.35,5.03,0.99,0.0,0.1,0.03,0.01,0.0,6.16,0.76,12.2,0.6,19.12,68.5,68.5,22.25,22.25
OCOLUL SILVIC STOICENI,16.08.2021,Ocolul Silvic Stoiceni,Predat,2100156205940,1,Stoiceni,566 Galtofani,11.76,T. progresive (punere in lumina),Principale codru,SORTIMENTE SI MULTIPLI DE SORTIMENTE,12.08.2021,2025,NESETAT,Fir cu fir,CIRCULARA,PS326,0.0,0,0.0,19,18.06,9 A,11.76,11.76,135,15,62.0,7.29,10Fa,1.5,Plop alb,0.21,10,0.0,0.3,0.77,0.0,0.09,0.05,0.08,0.07,1.36,0.19,0.44,0.13,1.99,13.2,13.2,12.4,12.4
OCOLUL SILVIC STOICENI,16.08.2021,Ocolul Silvic Stoiceni,Predat,2100156205940,1,Stoiceni,566 Galtofani,11.76,T. progresive (punere in lumina),Principale codru,SORTIMENTE SI MULTIPLI DE SORTIMENTE,12.08.2021,2025,NESETAT,Fir cu fir,CIRCULARA,PS326,0.0,0,0.0,19,18.06,9 A,11.76,11.76,135,15,62.0,7.29,10Fa,1.5,Fag,2.02,496,20.05,265.69,368.65,0.0,39.52,21.14,8.27,0.52,703.79,37.52,244.45,55.73,985.76,44.08,41.29,26.62,26.62
